source,eligible_reporters,verified_reporters,strong_reporters,likely_reporters,unmatched_reporters,unknown_tier_reporters,unverified_reporters,likely_backlog,verified_target_70pct,verified_shortfall,strategy_id,workflow,command_template
Bloomberg,1043,11,0,1032,0,0,1032,1032,731,720,blocked_cloudflare_manual,"Blocked or challenge-prone source. Run a bounded dry run, inspect access_barriers and sample_rejected, then handle manually before applying.",uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
New York Times,904,208,2,694,0,0,696,694,633,425,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'New York Times' --target-promotions 425 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
The Guardian - UK,1099,461,0,638,0,0,638,638,770,309,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Guardian - UK' --target-promotions 309 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
ABC News Australia,615,165,5,445,0,0,450,445,431,266,official_author_page_extraction,Use article-exposed official author links first. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'ABC News Australia' --target-promotions 266 --max-articles-per-reporter 3
The Diplomat,387,62,0,325,0,0,325,325,271,209,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Diplomat' --target-promotions 209 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
The Guardian,349,47,6,296,0,0,302,296,245,198,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Guardian' --target-promotions 198 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
Washington Times,273,16,0,257,0,0,257,257,192,176,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Washington Times' --target-promotions 176 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
The Nation,234,25,1,208,0,0,209,208,164,139,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Nation' --target-promotions 139 --max-articles-per-reporter 3
The Wall Street Journal,195,0,3,192,0,0,195,192,137,137,blocked_cloudflare_manual,"Blocked or challenge-prone source. Run a bounded dry run, inspect access_barriers and sample_rejected, then handle manually before applying.",uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Wall Street Journal' --target-promotions 137 --max-articles-per-reporter 3 --limit-reporters 274 # review access_barriers before any --apply run
CounterPunch,191,14,0,177,0,0,177,177,134,120,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'CounterPunch' --target-promotions 120 --max-articles-per-reporter 3
The Times of India,202,32,0,170,0,0,170,170,142,110,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Times of India' --target-promotions 110 --max-articles-per-reporter 3
Truth Out,176,16,0,160,0,0,160,160,124,108,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Truth Out' --target-promotions 108 --max-articles-per-reporter 3
Project Syndicate,155,0,0,155,0,0,155,155,109,109,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Project Syndicate' --target-promotions 109 --max-articles-per-reporter 3
Washington Times - Politics,145,7,0,138,0,0,138,138,102,95,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Washington Times - Politics' --target-promotions 95 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
NewsNation,132,0,0,132,0,0,132,132,93,93,blocked_cloudflare_manual,"Blocked or challenge-prone source. Run a bounded dry run, inspect access_barriers and sample_rejected, then handle manually before applying.",uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'NewsNation' --target-promotions 93 --max-articles-per-reporter 3 --limit-reporters 186 # review access_barriers before any --apply run
NPR,132,15,8,109,0,0,117,109,93,78,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'NPR' --target-promotions 78 --max-articles-per-reporter 3
The Dispatch,94,14,0,80,0,0,80,80,66,52,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Dispatch' --target-promotions 52 --max-articles-per-reporter 3
Responsible Statecraft,87,10,0,77,0,0,77,77,61,51,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Responsible Statecraft' --target-promotions 51 --max-articles-per-reporter 3
National Review,102,25,1,76,0,0,77,76,72,47,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'National Review' --target-promotions 47 --max-articles-per-reporter 3
War on the Rocks,196,120,0,76,0,0,76,76,138,18,guessed_author_page_profiles,Use bounded source-specific author-page guesses after article metadata fails. Guesses still require a fetched same-host profile-name match.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'War on the Rocks' --target-promotions 18 --max-articles-per-reporter 3 --include-guessed-author-pages --max-guessed-author-pages 10
Big Think,73,0,0,73,0,0,73,73,52,52,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Big Think' --target-promotions 52 --max-articles-per-reporter 3
The Indian Express,111,40,1,70,0,0,71,70,78,38,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Indian Express' --target-promotions 38 --max-articles-per-reporter 3
American Spectator,77,15,0,62,0,0,62,62,54,39,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'American Spectator' --target-promotions 39 --max-articles-per-reporter 3
Axios,67,0,7,60,0,0,67,60,47,47,blocked_cloudflare_manual,"Blocked or challenge-prone source. Run a bounded dry run, inspect access_barriers and sample_rejected, then handle manually before applying.",uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Axios' --target-promotions 47 --max-articles-per-reporter 3 --limit-reporters 94 # review access_barriers before any --apply run
ProPublica,66,0,6,60,0,0,66,60,47,47,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'ProPublica' --target-promotions 47 --max-articles-per-reporter 3
The Washington Post,61,0,4,57,0,0,61,57,43,43,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Washington Post' --target-promotions 43 --max-articles-per-reporter 3
Mother Jones,74,15,3,56,0,0,59,56,52,37,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Mother Jones' --target-promotions 37 --max-articles-per-reporter 3
Express Tribune,56,0,0,56,0,0,56,56,40,40,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Express Tribune' --target-promotions 40 --max-articles-per-reporter 3
The Namibian,83,27,0,56,0,0,56,56,59,32,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Namibian' --target-promotions 32 --max-articles-per-reporter 3
The Federalist,67,14,0,53,0,0,53,53,47,33,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Federalist' --target-promotions 33 --max-articles-per-reporter 3
France24,71,18,0,53,0,0,53,53,50,32,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'France24' --target-promotions 32 --max-articles-per-reporter 3
Rappler,71,18,0,53,0,0,53,53,50,32,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Rappler' --target-promotions 32 --max-articles-per-reporter 3
Jerusalem Post,78,25,0,53,0,0,53,53,55,30,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Jerusalem Post' --target-promotions 30 --max-articles-per-reporter 3
The Fiji Times,48,0,0,48,0,0,48,48,34,34,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Fiji Times' --target-promotions 34 --max-articles-per-reporter 3
Global Voices,46,0,0,46,0,0,46,46,33,33,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Global Voices' --target-promotions 33 --max-articles-per-reporter 3
Reason,78,30,3,45,0,0,48,45,55,25,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Reason' --target-promotions 25 --max-articles-per-reporter 3
Report.az,44,0,0,44,0,0,44,44,31,31,blocked_cloudflare_manual,"Blocked or challenge-prone source. Run a bounded dry run, inspect access_barriers and sample_rejected, then handle manually before applying.",uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Report.az' --target-promotions 31 --max-articles-per-reporter 3 --limit-reporters 62 # review access_barriers before any --apply run
Aeon,43,0,0,43,0,0,43,43,31,31,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Aeon' --target-promotions 31 --max-articles-per-reporter 3
The Observer Uganda,40,0,0,40,0,0,40,40,28,28,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Observer Uganda' --target-promotions 28 --max-articles-per-reporter 3
The Slovak Spectator,40,0,0,40,0,0,40,40,28,28,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Slovak Spectator' --target-promotions 28 --max-articles-per-reporter 3
National Post,43,3,1,39,0,0,40,39,31,28,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'National Post' --target-promotions 28 --max-articles-per-reporter 3
Liberation News,36,0,0,36,0,0,36,36,26,26,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Liberation News' --target-promotions 26 --max-articles-per-reporter 3
PhillyVoice,46,10,0,36,0,0,36,36,33,23,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'PhillyVoice' --target-promotions 23 --max-articles-per-reporter 3
Ekathimerini,65,30,0,35,0,0,35,35,46,16,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Ekathimerini' --target-promotions 16 --max-articles-per-reporter 3
Religion Dispatches,32,0,0,32,0,0,32,32,23,23,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Religion Dispatches' --target-promotions 23 --max-articles-per-reporter 3
Post-Courier,31,0,0,31,0,0,31,31,22,22,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Post-Courier' --target-promotions 22 --max-articles-per-reporter 3
WHYY,50,19,0,31,0,0,31,31,35,16,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'WHYY' --target-promotions 16 --max-articles-per-reporter 3
Electronic Intifada,30,0,0,30,0,0,30,30,21,21,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Electronic Intifada' --target-promotions 21 --max-articles-per-reporter 3
PC Gamer,42,12,0,30,0,0,30,30,30,18,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'PC Gamer' --target-promotions 18 --max-articles-per-reporter 3
Current Affairs,27,0,0,27,0,0,27,27,19,19,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Current Affairs' --target-promotions 19 --max-articles-per-reporter 3
972mag.com,30,0,4,26,0,0,30,26,21,21,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source '972mag.com' --target-promotions 21 --max-articles-per-reporter 3
Mexico News Daily,32,7,0,25,0,0,25,25,23,16,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Mexico News Daily' --target-promotions 16 --max-articles-per-reporter 3
38 North,24,0,0,24,0,0,24,24,17,17,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source '38 North' --target-promotions 17 --max-articles-per-reporter 3
MyJoyOnline,33,10,0,23,0,0,23,23,24,14,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'MyJoyOnline' --target-promotions 14 --max-articles-per-reporter 3
Morocco World News,31,9,0,22,0,0,22,22,22,13,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Morocco World News' --target-promotions 13 --max-articles-per-reporter 3
Jamaica Observer,43,21,0,22,0,0,22,22,31,10,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Jamaica Observer' --target-promotions 10 --max-articles-per-reporter 3
Caracas Chronicles,21,0,0,21,0,0,21,21,15,15,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Caracas Chronicles' --target-promotions 15 --max-articles-per-reporter 3
FrontPage Africa,21,0,0,21,0,0,21,21,15,15,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'FrontPage Africa' --target-promotions 15 --max-articles-per-reporter 3
NK News,20,0,0,20,0,0,20,20,14,14,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'NK News' --target-promotions 14 --max-articles-per-reporter 3
The Chanzo,20,0,0,20,0,0,20,20,14,14,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'The Chanzo' --target-promotions 14 --max-articles-per-reporter 3
KT Press,21,2,0,19,0,0,19,19,15,13,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'KT Press' --target-promotions 13 --max-articles-per-reporter 3
Premium Times,51,32,0,19,0,0,19,19,36,4,official_author_page_extraction,Start with article-exposed author links. Promote only fetched same-host author pages whose profile name matches the reporter.,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Premium Times' --target-promotions 4 --max-articles-per-reporter 3
